Total CGPA,Logical quotient rating,hackathons,coding skills rating,public speaking points,can work long time before system?,self-learning capability?,certifications,reading and writing skills,memory capability score,Interested subjects,interested career area,Job/Higher Studies?,Type of company want to settle in?,interested in games,Interested Type of Books,Salary Range Expected,Gentle or Tuff behaviour?,Management or Technical,worked in teams ever?,Introvert
7.7555555555555555,6,3,4,5,no,yes,distro making,poor,excellent,IOT,testing,job,Service Based,no,Satire,Work,gentle,Management,yes,no
7.2555555555555555,5,2,7,3,yes,no,app development,excellent,poor,Management,developer,higherstudies,Cloud Services,yes,Health,Work,gentle,Technical,no,no
8.366666666666667,5,6,1,9,yes,yes,app development,medium,medium,IOT,developer,higherstudies,Sales and Marketing,no,Science,Work,stubborn,Technical,yes,yes
7.433333333333333,6,0,3,4,yes,no,full stack,excellent,excellent,parallel computing,security,higherstudies,Testing and Maintainance Services,no,Self help,Work,stubborn,Management,no,no
7.6,7,0,3,1,yes,no,app development,excellent,excellent,Management,system developer,higherstudies,BPA,yes,Satire,salary,gentle,Technical,yes,no
7.933333333333333,9,0,6,3,yes,yes,machine learning,medium,medium,data engineering,security,job,Testing and Maintainance Services,yes,Prayer books,salary,stubborn,Technical,no,yes
8.066666666666666,7,0,8,4,yes,yes,distro making,excellent,excellent,Computer Architecture,cloud computing,job,Sales and Marketing,yes,Encyclopedias,salary,gentle,Technical,no,no
7.311111111111112,6,0,1,1,yes,no,shell programming,medium,excellent,Management,testing,higherstudies,Finance,no,Drama,Work,gentle,Management,yes,yes
7.688888888888888,8,3,9,1,no,no,machine learning,poor,poor,Computer Architecture,testing,higherstudies,Web Services,no,Health,Work,stubborn,Technical,no,no
8.11111111111111,4,5,5,2,yes,yes,hadoop,poor,medium,IOT,security,higherstudies,BPA,yes,Action and Adventure,salary,gentle,Management,yes,yes
7.7666666666666675,9,0,1,6,no,yes,full stack,poor,poor,Software Engineering,testing,higherstudies,Service Based,yes,Fantasy,Work,gentle,Technical,no,no
7.977777777777777,6,5,6,8,yes,yes,full stack,poor,excellent,Computer Architecture,system developer,job,SAaS services,yes,Anthology,salary,stubborn,Management,yes,no
7.722222222222223,3,3,7,8,no,no,distro making,medium,excellent,parallel computing,Business process analyst,higherstudies,BPA,no,Biographies,Work,stubborn,Management,no,yes
7.566666666666667,2,3,4,4,yes,no,machine learning,excellent,excellent,networks,system developer,job,BPA,yes,Horror,Work,gentle,Technical,no,yes
7.944444444444445,7,6,7,8,no,yes,shell programming,poor,excellent,hacking,developer,job,product development,yes,Poetry,salary,gentle,Management,yes,yes
7.2555555555555555,9,1,7,6,no,yes,app development,excellent,excellent,data engineering,cloud computing,job,Service Based,no,Romance,salary,gentle,Management,yes,yes
7.0777777777777775,5,5,6,3,no,yes,shell programming,excellent,poor,IOT,security,job,Sales and Marketing,yes,Anthology,Work,stubborn,Technical,no,no
7.7333333333333325,1,2,8,2,yes,no,app development,medium,poor,Management,cloud computing,job,BPA,yes,Self help,Work,stubborn,Management,yes,no
7.4222222222222225,1,3,7,2,no,yes,hadoop,medium,poor,parallel computing,cloud computing,higherstudies,SAaS services,yes,Horror,salary,gentle,Management,yes,no
7.944444444444445,2,0,2,3,yes,no,distro making,excellent,poor,Management,cloud computing,job,Finance,yes,History,salary,gentle,Technical,yes,yes
7.511111111111111,2,6,2,5,no,no,machine learning,excellent,excellent,cloud computing,Business process analyst,job,Product based,yes,Fantasy,Work,stubborn,Management,no,no
7.555555555555555,7,6,4,3,no,no,shell programming,excellent,medium,Management,system developer,higherstudies,Cloud Services,no,Autobiographies,salary,gentle,Technical,no,yes
7.344444444444444,2,1,8,8,no,yes,shell programming,excellent,excellent,hacking,system developer,job,product development,no,Guide,salary,gentle,Management,yes,no
7.911111111111111,2,3,2,8,no,no,distro making,excellent,medium,networks,security,job,BPA,no,Prayer books,Work,stubborn,Management,yes,yes
7.844444444444444,8,5,7,6,yes,no,full stack,medium,excellent,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,Science fiction,salary,stubborn,Management,yes,no
7.711111111111111,7,1,3,7,no,yes,python,medium,poor,Management,developer,job,Service Based,no,Horror,salary,stubborn,Technical,yes,yes
7.988888888888889,3,4,1,3,yes,no,information security,excellent,excellent,parallel computing,developer,job,Testing and Maintainance Services,no,Guide,salary,gentle,Management,no,yes
7.566666666666667,2,3,7,1,yes,yes,machine learning,poor,medium,hacking,cloud computing,job,Cloud Services,yes,Art,salary,stubborn,Technical,yes,yes
8.2,8,4,1,8,no,yes,r programming,poor,poor,networks,testing,job,Finance,yes,Self help,Work,gentle,Management,no,yes
7.6,9,5,8,8,yes,yes,information security,poor,poor,programming,Business process analyst,job,SAaS services,yes,Drama,Work,stubborn,Technical,no,no
7.188888888888888,7,5,1,7,no,no,machine learning,poor,poor,parallel computing,system developer,higherstudies,Web Services,yes,Series,salary,stubborn,Management,yes,yes
7.7444444444444445,2,2,5,6,no,yes,python,medium,medium,Computer Architecture,testing,job,BPA,no,Childrens,salary,gentle,Management,yes,yes
8.233333333333333,8,5,8,6,yes,yes,app development,poor,poor,Computer Architecture,testing,job,Sales and Marketing,yes,Mystery,salary,gentle,Management,yes,no
8.166666666666668,8,6,1,9,no,yes,hadoop,poor,excellent,parallel computing,cloud computing,higherstudies,Cloud Services,yes,Cookbooks,salary,gentle,Management,yes,no
7.533333333333333,6,3,4,3,no,no,python,excellent,poor,programming,testing,job,SAaS services,yes,Prayer books,salary,stubborn,Technical,yes,no
8.033333333333333,6,5,4,7,no,yes,machine learning,excellent,excellent,networks,system developer,job,Finance,no,Science fiction,salary,stubborn,Management,no,no
7.088888888888889,6,2,1,9,no,no,shell programming,poor,medium,Management,testing,job,Web Services,yes,Encyclopedias,salary,stubborn,Technical,yes,no
7.7444444444444445,6,0,3,4,no,yes,python,excellent,medium,hacking,developer,job,product development,yes,Poetry,Work,gentle,Management,no,yes
7.322222222222223,4,1,7,3,yes,yes,python,poor,excellent,Management,testing,higherstudies,Product based,yes,Dictionaries,Work,gentle,Management,yes,no
7.7333333333333325,8,5,7,6,no,no,shell programming,medium,excellent,Software Engineering,security,higherstudies,Product based,no,Horror,salary,stubborn,Management,no,no
7.144444444444444,7,3,1,1,no,no,machine learning,medium,medium,Software Engineering,cloud computing,higherstudies,Cloud Services,yes,Self help,salary,gentle,Management,no,yes
7.344444444444444,1,5,2,8,no,yes,information security,excellent,excellent,programming,cloud computing,higherstudies,Service Based,yes,Dictionaries,Work,gentle,Technical,no,no
7.355555555555556,6,0,6,3,yes,no,shell programming,medium,excellent,Software Engineering,security,job,Finance,no,Trilogy,Work,stubborn,Technical,no,no
7.388888888888888,3,3,2,2,no,yes,information security,medium,excellent,Computer Architecture,security,job,Sales and Marketing,yes,Encyclopedias,salary,gentle,Management,no,yes
7.211111111111111,7,6,3,5,no,yes,r programming,medium,medium,IOT,security,job,Service Based,yes,Self help,Work,gentle,Technical,no,yes
7.1,7,0,4,3,yes,no,hadoop,medium,excellent,parallel computing,developer,higherstudies,Service Based,no,Diaries,salary,gentle,Management,no,yes
8.011111111111111,3,1,7,6,no,yes,python,poor,poor,Software Engineering,developer,job,Sales and Marketing,yes,Horror,Work,stubborn,Technical,no,yes
7.2666666666666675,9,3,1,9,yes,yes,python,poor,poor,cloud computing,developer,higherstudies,SAaS services,yes,Biographies,salary,gentle,Technical,no,no
8.011111111111111,7,0,3,9,yes,no,shell programming,excellent,excellent,cloud computing,Business process analyst,job,SAaS services,no,Art,Work,stubborn,Management,no,no
7.8,2,2,6,6,no,no,r programming,poor,medium,hacking,testing,job,BPA,yes,Fantasy,salary,gentle,Management,no,yes
6.977777777777777,7,4,3,5,no,yes,hadoop,medium,excellent,Computer Architecture,system developer,job,SAaS services,no,Poetry,Work,gentle,Technical,yes,yes
7.655555555555556,3,5,5,9,no,no,hadoop,medium,medium,Computer Architecture,cloud computing,job,Finance,no,Romance,Work,gentle,Technical,yes,no
7.9,9,2,6,6,yes,yes,information security,excellent,medium,parallel computing,system developer,job,Web Services,yes,Trilogy,Work,gentle,Technical,yes,yes
7.488888888888889,1,6,6,8,no,yes,hadoop,poor,excellent,networks,system developer,job,Service Based,yes,Encyclopedias,salary,gentle,Management,yes,no
7.822222222222223,4,0,3,1,no,no,shell programming,excellent,medium,cloud computing,system developer,higherstudies,Cloud Services,no,Guide,salary,gentle,Management,no,no
7.4,7,2,8,6,yes,yes,r programming,poor,excellent,networks,cloud computing,higherstudies,SAaS services,yes,Self help,salary,gentle,Technical,no,no
6.966666666666667,6,0,2,1,no,no,distro making,excellent,poor,Management,Business process analyst,job,Sales and Marketing,no,Mystery,Work,stubborn,Technical,yes,no
7.2,5,2,5,4,yes,no,information security,medium,excellent,hacking,system developer,job,Product based,no,Horror,Work,gentle,Technical,no,yes
8.2,7,0,8,8,yes,no,machine learning,poor,medium,Software Engineering,system developer,job,Finance,no,Self help,salary,gentle,Management,no,no
7.2333333333333325,3,6,1,2,no,no,information security,medium,excellent,cloud computing,Business process analyst,job,Product based,no,Guide,Work,stubborn,Technical,no,yes
7.322222222222223,7,6,3,6,no,yes,full stack,excellent,medium,programming,developer,job,Web Services,no,Biographies,Work,stubborn,Technical,yes,no
8.344444444444445,2,3,9,1,yes,no,information security,excellent,poor,data engineering,Business process analyst,job,product development,yes,Travel,salary,stubborn,Technical,no,no
8.088888888888889,8,5,1,4,no,yes,app development,excellent,excellent,Management,security,higherstudies,Finance,no,Travel,Work,gentle,Technical,no,no
7.722222222222223,3,1,8,1,no,no,machine learning,medium,excellent,hacking,cloud computing,job,Web Services,no,Drama,Work,gentle,Management,no,no
7.833333333333333,1,4,7,6,yes,yes,shell programming,medium,medium,data engineering,testing,higherstudies,Product based,no,Guide,salary,stubborn,Technical,yes,no
7.7666666666666675,1,1,1,4,no,yes,shell programming,excellent,excellent,programming,security,job,Cloud Services,no,Biographies,Work,stubborn,Management,no,yes
7.377777777777777,2,0,1,4,yes,no,hadoop,poor,poor,networks,security,job,product development,yes,Fantasy,Work,gentle,Management,yes,no
7.888888888888888,2,4,7,7,yes,yes,hadoop,poor,excellent,hacking,system developer,job,BPA,yes,Romance,salary,gentle,Technical,yes,yes
7.622222222222223,7,1,9,3,no,yes,information security,medium,excellent,IOT,testing,higherstudies,Sales and Marketing,yes,Cookbooks,Work,stubborn,Technical,no,yes
7.9,5,1,9,4,no,yes,app development,medium,medium,Computer Architecture,developer,higherstudies,SAaS services,yes,Self help,salary,stubborn,Management,yes,yes
7.7555555555555555,3,0,1,8,no,yes,shell programming,excellent,excellent,parallel computing,developer,job,Web Services,no,Mystery,salary,stubborn,Management,no,no
8.044444444444444,1,5,9,4,yes,no,app development,poor,medium,programming,cloud computing,job,Sales and Marketing,yes,Horror,salary,stubborn,Management,yes,yes
7.722222222222223,2,1,6,1,yes,no,machine learning,poor,excellent,parallel computing,Business process analyst,higherstudies,SAaS services,yes,Health,Work,gentle,Management,no,yes
7.888888888888888,8,1,6,9,yes,yes,information security,excellent,excellent,cloud computing,security,higherstudies,Finance,yes,Health,salary,gentle,Technical,no,no
7.544444444444444,6,4,8,4,yes,yes,information security,medium,poor,networks,testing,job,Sales and Marketing,no,Anthology,Work,stubborn,Management,no,yes
7.5,8,1,7,9,no,yes,full stack,medium,medium,programming,system developer,job,Sales and Marketing,yes,Childrens,salary,gentle,Management,no,no
7.811111111111112,9,2,1,6,yes,yes,shell programming,poor,medium,IOT,Business process analyst,job,Finance,yes,Satire,salary,stubborn,Technical,no,no
7.2444444444444445,2,0,4,3,no,no,app development,medium,excellent,programming,testing,job,SAaS services,yes,Science,Work,stubborn,Technical,yes,yes
8.044444444444444,9,1,6,7,yes,no,machine learning,excellent,poor,networks,security,higherstudies,SAaS services,yes,Guide,salary,gentle,Management,no,yes
8.077777777777778,4,0,8,6,yes,no,python,poor,poor,data engineering,system developer,job,Cloud Services,yes,Horror,salary,stubborn,Technical,no,no
7.7555555555555555,2,1,7,5,yes,yes,machine learning,excellent,poor,Software Engineering,system developer,higherstudies,Finance,yes,Travel,salary,gentle,Management,yes,no
8.177777777777777,9,1,2,5,yes,yes,app development,poor,excellent,parallel computing,developer,job,Web Services,no,Horror,salary,gentle,Management,yes,no
7.7666666666666675,3,0,5,1,yes,no,hadoop,excellent,poor,data engineering,Business process analyst,job,Sales and Marketing,no,Dictionaries,Work,stubborn,Technical,yes,yes
7.844444444444444,2,5,8,3,no,no,r programming,excellent,excellent,data engineering,cloud computing,higherstudies,Sales and Marketing,yes,Fantasy,salary,stubborn,Management,no,yes
7.444444444444445,3,5,4,9,yes,yes,hadoop,excellent,poor,networks,testing,job,Product based,yes,Trilogy,salary,gentle,Management,no,yes
7.822222222222223,7,5,3,2,yes,no,hadoop,poor,poor,cloud computing,cloud computing,job,Cloud Services,no,Science,salary,stubborn,Technical,no,no
8.088888888888889,2,5,5,1,no,yes,information security,poor,medium,Software Engineering,Business process analyst,higherstudies,Testing and Maintainance Services,no,Childrens,Work,gentle,Technical,yes,no
7.7555555555555555,8,6,2,8,yes,yes,distro making,excellent,excellent,programming,security,job,BPA,yes,Anthology,Work,stubborn,Technical,yes,no
8.033333333333333,6,0,6,1,yes,no,full stack,medium,excellent,data engineering,Business process analyst,job,Finance,no,Science,Work,stubborn,Technical,no,no
6.977777777777777,1,0,4,5,yes,yes,full stack,medium,poor,programming,developer,higherstudies,product development,no,Comics,Work,gentle,Technical,no,no
8.366666666666667,4,6,9,4,no,yes,python,medium,poor,hacking,developer,job,product development,no,Religion-Spirituality,salary,stubborn,Technical,no,no
7.622222222222223,9,3,1,6,yes,no,shell programming,medium,poor,parallel computing,security,job,Finance,no,Biographies,salary,stubborn,Management,no,no
7.655555555555556,5,2,8,9,no,no,hadoop,poor,medium,parallel computing,testing,job,Service Based,no,Mystery,salary,gentle,Technical,no,yes
7.811111111111112,8,3,1,1,no,no,hadoop,poor,medium,Computer Architecture,developer,job,Product based,yes,Biographies,salary,gentle,Technical,no,no
7.777777777777777,4,4,1,8,no,no,hadoop,poor,excellent,cloud computing,Business process analyst,higherstudies,Web Services,no,Encyclopedias,salary,stubborn,Management,yes,yes
8.088888888888889,8,4,6,4,yes,no,distro making,poor,medium,cloud computing,Business process analyst,job,SAaS services,no,Horror,Work,stubborn,Management,no,yes
7.644444444444444,3,6,6,5,no,yes,full stack,excellent,poor,IOT,security,job,product development,yes,History,Work,stubborn,Management,yes,no
6.955555555555556,9,6,3,2,yes,yes,hadoop,poor,poor,programming,Business process analyst,higherstudies,Finance,yes,Travel,Work,gentle,Management,no,yes
7.444444444444445,7,4,3,7,no,yes,information security,excellent,medium,programming,developer,job,Testing and Maintainance Services,no,Biographies,salary,gentle,Management,no,no
7.466666666666667,3,1,2,9,yes,no,full stack,excellent,medium,cloud computing,testing,job,Testing and Maintainance Services,yes,Satire,Work,gentle,Technical,no,no
7.988888888888889,7,3,9,7,no,no,app development,excellent,poor,data engineering,Business process analyst,higherstudies,Web Services,no,Guide,salary,stubborn,Management,no,no
8.0,8,1,4,2,no,yes,information security,medium,medium,cloud computing,Business process analyst,higherstudies,Finance,yes,Guide,salary,gentle,Management,yes,yes
7.2666666666666675,1,6,2,5,no,no,full stack,medium,poor,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,yes,Fantasy,Work,stubborn,Management,yes,yes
7.677777777777777,3,0,2,9,yes,no,shell programming,excellent,medium,programming,security,job,Web Services,yes,Mystery,Work,gentle,Management,no,no
8.533333333333333,4,1,9,8,yes,yes,app development,poor,medium,programming,system developer,job,Testing and Maintainance Services,no,Action and Adventure,salary,stubborn,Management,no,no
7.777777777777777,7,4,6,1,yes,no,app development,medium,poor,IOT,developer,job,Finance,yes,History,salary,stubborn,Technical,no,yes
7.666666666666667,8,4,6,6,yes,no,information security,medium,poor,Software Engineering,system developer,job,product development,yes,Childrens,salary,stubborn,Technical,yes,no
7.7333333333333325,3,4,5,2,no,no,machine learning,poor,excellent,IOT,system developer,job,Testing and Maintainance Services,yes,Travel,salary,stubborn,Technical,yes,yes
